"trade_id","task","coin_id","mint_key","pair_key","signal_market_cap","bought_market_cap","sold_market_cap","total_invested_sol","total_invested_usd","profit_usd","return_pct","max_return","source","passed_branch","orders_history","trading_score","take_profit_1","take_profit_2","take_profit_3","take_profit_4","take_profit_5","take_profit_6","stop_loss_1","stop_loss_2","stop_loss_3","stop_loss_4","stop_loss_5","stop_loss_6","trailing_stop_loss_1","trailing_stop_loss_2","trailing_stop_loss_3","trailing_stop_loss_4","trailing_stop_loss_5","trailing_stop_loss_6","trailing_stop_loss_fix_gap_1","trailing_stop_loss_fix_gap_2","trailing_stop_loss_fix_gap_3","trailing_stop_loss_fix_gap_4","trailing_stop_loss_fix_gap_5","trailing_stop_loss_fix_gap_6","top_up_1","top_up_2","top_up_3","top_up_4","top_up_5","top_up_6"
"89564","AI-Phillip-R30.12","VЕNLI","EzFX1Pb3HMd9D1nHoVrfdMWNubYq4bMhJqi1NAhQpump","51SPyLvbBqrPURWZiVzSevtCvW1jaM4HZjg142tVRZu8","41669.550761089704","42897","54482","0.0003173580004878803","0.043003681403390004","0.0027478332801076626","6.41","0","solana_tracker",,"[{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""trailing_stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:13:56.000Z"",""triggeredTime"":""2026-01-05T10:13:56.264Z""},{""orderName"":""take_profit_2"",""completed"":true,""executedTime"":""2026-01-05T10:13:20.000Z"",""triggeredTime"":""2026-01-05T10:13:21.077Z""},{""orderName"":""take_profit_1"",""completed"":true,""executedTime"":""2026-01-05T10:12:58.000Z"",""triggeredTime"":""2026-01-05T10:12:58.040Z""},{""orderName"":""trailing_stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_4"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_5"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""}]","{""notes"":""🏆 TIER0: solana_tracker = 80%+ hit rate | ⚠️ bundled:88%"",""symbol"":""VЕNLI"",""mint_key"":""EzFX1Pb3HMd9D1nHoVrfdMWNubYq4bMhJqi1NAhQpump"",""pair_key"":""51SPyLvbBqrPURWZiVzSevtCvW1jaM4HZjg142tVRZu8"",""timestamp"":""2026-01-05T10:11:39.234613"",""confidence"":0.8,""go_decision"":true,""signal_source"":""solana_tracker"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","true","true","false","false","false","true","false","false","false","false","N/A","N/A","true","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89146","Full-AI-Phillip","‎Ralph Wiggum","26BFDtxUpzhB6mwf93U5NiPSf878riWephC44R4Y5NNW","pEwM83ywLQho2iid6JWbLCgctUJN8BNBNs5Aga2Aqzf",,"67886","493473","0.004717684997703671","0.6402048512427913","1.419380806381992","221.74","0","whale",,"[{""orderName"":""take_profit_1"",""completed"":true,""executedTime"":""2026-01-05T04:17:07.000Z"",""triggeredTime"":""2026-01-05T04:17:07.390Z""},{""orderName"":""take_profit_2"",""completed"":true,""executedTime"":""2026-01-05T04:17:13.000Z"",""triggeredTime"":""2026-01-05T04:17:13.354Z""},{""orderName"":""take_profit_4"",""completed"":true,""executedTime"":""2026-01-05T04:18:55.000Z"",""triggeredTime"":""2026-01-05T04:18:54.314Z""},{""orderName"":""take_profit_3"",""completed"":true,""executedTime"":""2026-01-05T04:17:34.000Z"",""triggeredTime"":""2026-01-05T04:17:34.190Z""},{""orderName"":""stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:23:51.000Z"",""triggeredTime"":""2026-01-05T10:23:50.915Z""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate"",""symbol"":""Ralph"",""mint_key"":""26BFDtxUpzhB6mwf93U5NiPSf878riWephC44R4Y5NNW"",""pair_key"":""pEwM83ywLQho2iid6JWbLCgctUJN8BNBNs5Aga2Aqzf"",""timestamp"":""2026-01-05T04:16:49.860189"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","true","true","true","true","false","true","true","false","false","false","N/A","N/A","false","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89577","AI-Phillip-R30.12","Vibecodoor","Aj1mSpD4vJDN5r3xptnHsjHQgGWDLge8bRQi2W6pump","j1SSzMxvKxcusSN7d2tVtvgYwKPibbFgxLr1kNckVHd","53408.517247541895","59464","84189","0.0004568689995574123","0.0619463100309832","0.008547628028721804","13.83","0","solana_tracker",,"[{""orderName"":""take_profit_4"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_5"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""trailing_stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":true,""executedTime"":""2026-01-05T10:31:34.000Z"",""triggeredTime"":""2026-01-05T10:31:34.355Z""},{""orderName"":""trailing_stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:31:41.000Z"",""triggeredTime"":""2026-01-05T10:31:41.793Z""},{""orderName"":""take_profit_2"",""completed"":true,""executedTime"":""2026-01-05T10:30:03.000Z"",""triggeredTime"":""2026-01-05T10:30:03.208Z""},{""orderName"":""take_profit_1"",""completed"":true,""executedTime"":""2026-01-05T10:28:13.000Z"",""triggeredTime"":""2026-01-05T10:28:13.637Z""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate"",""symbol"":""Vibecodoor"",""mint_key"":""Aj1mSpD4vJDN5r3xptnHsjHQgGWDLge8bRQi2W6pump"",""pair_key"":""j1SSzMxvKxcusSN7d2tVtvgYwKPibbFgxLr1kNckVHd"",""timestamp"":""2026-01-05T10:27:07.801853"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","true","true","true","false","false","true","false","false","false","false","N/A","N/A","true","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89580","Full-AI-Phillip","SP","2AbgvNdkfSkzTk5i6ukfeenpVmjXad5AsA9GxJvFpump","7o2iPMmoqyBAwpN96G6nZqBv9XJyKDZNxhtJnF9yfNiV","52551.660252858346","51643","42845","0.004128396005284371","0.5597641742964272","-0.09942514239882273","-17.76","0","solana_tracker",,"[{""orderName"":""stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:31:41.000Z"",""triggeredTime"":""2026-01-05T10:31:42.166Z""},{""orderName"":""take_profit_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_4"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate | ⚠️ snipers:67%"",""symbol"":""SP"",""mint_key"":""2AbgvNdkfSkzTk5i6ukfeenpVmjXad5AsA9GxJvFpump"",""pair_key"":""7o2iPMmoqyBAwpN96G6nZqBv9XJyKDZNxhtJnF9yfNiV"",""timestamp"":""2026-01-05T10:31:27.062837"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","false","false","false","false","false","true","true","false","false","false","N/A","N/A","true","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89579","AI-Phillip-R2.1-25","SP","2AbgvNdkfSkzTk5i6ukfeenpVmjXad5AsA9GxJvFpump","7o2iPMmoqyBAwpN96G6nZqBv9XJyKDZNxhtJnF9yfNiV","52551.660252858346","51641","36482","0.0004185089999586043","0.0567810555181753","-0.020719029288007357","-36.57","0","solana_tracker",,"[{""orderName"":""trailing_stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:33:26.000Z"",""triggeredTime"":""2026-01-05T10:33:26.166Z""},{""orderName"":""stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate | ⚠️ snipers:67%"",""symbol"":""SP"",""mint_key"":""2AbgvNdkfSkzTk5i6ukfeenpVmjXad5AsA9GxJvFpump"",""pair_key"":""7o2iPMmoqyBAwpN96G6nZqBv9XJyKDZNxhtJnF9yfNiV"",""timestamp"":""2026-01-05T10:31:27.062837"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","false","false","false","false","false","true","true","false","false","false","N/A","N/A","false","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89575","AI-Phillip-R2.1-25","Vibecodoor","Aj1mSpD4vJDN5r3xptnHsjHQgGWDLge8bRQi2W6pump","j1SSzMxvKxcusSN7d2tVtvgYwKPibbFgxLr1kNckVHd","53408.517247541895","58152","67642","0.0004432379995586797","0.06013615355026209","0.006680116319962064","11.11","0","solana_tracker",,"[{""orderName"":""take_profit_1"",""completed"":true,""executedTime"":""2026-01-05T10:28:13.000Z"",""triggeredTime"":""2026-01-05T10:28:13.637Z""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_2"",""completed"":true,""executedTime"":""2026-01-05T10:30:03.000Z"",""triggeredTime"":""2026-01-05T10:30:03.208Z""},{""orderName"":""trailing_stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:33:54.000Z"",""triggeredTime"":""2026-01-05T10:33:55.092Z""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate"",""symbol"":""Vibecodoor"",""mint_key"":""Aj1mSpD4vJDN5r3xptnHsjHQgGWDLge8bRQi2W6pump"",""pair_key"":""j1SSzMxvKxcusSN7d2tVtvgYwKPibbFgxLr1kNckVHd"",""timestamp"":""2026-01-05T10:27:07.801853"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","true","true","false","false","false","true","false","false","false","false","N/A","N/A","true","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89562","AI-Phillip-R2.1-25","VЕNLI","EzFX1Pb3HMd9D1nHoVrfdMWNubYq4bMhJqi1NAhQpump","51SPyLvbBqrPURWZiVzSevtCvW1jaM4HZjg142tVRZu8","41669.550761089704","42892","88090","0.0003271670000056966","0.04440452512935847","0.0072013200798785384","16.29","0","solana_tracker",,"[{""orderName"":""take_profit_1"",""completed"":true,""executedTime"":""2026-01-05T10:13:05.000Z"",""triggeredTime"":""2026-01-05T10:13:05.509Z""},{""orderName"":""trailing_stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_2"",""completed"":true,""executedTime"":""2026-01-05T10:13:24.000Z"",""triggeredTime"":""2026-01-05T10:13:24.325Z""},{""orderName"":""take_profit_3"",""completed"":true,""executedTime"":""2026-01-05T10:34:53.000Z"",""triggeredTime"":""2026-01-05T10:34:53.433Z""}]","{""notes"":""🏆 TIER0: solana_tracker = 80%+ hit rate | ⚠️ bundled:88%"",""symbol"":""VЕNLI"",""mint_key"":""EzFX1Pb3HMd9D1nHoVrfdMWNubYq4bMhJqi1NAhQpump"",""pair_key"":""51SPyLvbBqrPURWZiVzSevtCvW1jaM4HZjg142tVRZu8"",""timestamp"":""2026-01-05T10:11:39.234613"",""confidence"":0.8,""go_decision"":true,""signal_source"":""solana_tracker"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","true","true","true","false","false","true","false","false","false","false","N/A","N/A","false","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89581","AI-Phillip-R30.12","SP","2AbgvNdkfSkzTk5i6ukfeenpVmjXad5AsA9GxJvFpump","7o2iPMmoqyBAwpN96G6nZqBv9XJyKDZNxhtJnF9yfNiV","52551.660252858346","47437","26584","0.0003713100003768709","0.05036455206930563","-0.026217682263179727","-52.06","0","solana_tracker",,"[{""orderName"":""trailing_stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""trailing_stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:39:31.000Z"",""triggeredTime"":""2026-01-05T10:39:31.215Z""},{""orderName"":""take_profit_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_4"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_5"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate | ⚠️ snipers:67%"",""symbol"":""SP"",""mint_key"":""2AbgvNdkfSkzTk5i6ukfeenpVmjXad5AsA9GxJvFpump"",""pair_key"":""7o2iPMmoqyBAwpN96G6nZqBv9XJyKDZNxhtJnF9yfNiV"",""timestamp"":""2026-01-05T10:31:27.062837"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","false","false","false","false","false","true","true","false","false","false","N/A","N/A","false","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89595","AI-Phillip-R2.1-40","HODLWHALE","8bhGaqjugQMqDgaN4X7Y2WuuAVcdKH7A3cxEDcmQpump","AnhXkKnKnpZ3Bn7V8YhoxbCzsyzAoC3VvX1wyiNc2X4D","54598.2464087313","59151","19075","0.00044544600024938645","0.06035203041030524","-0.04699435198775952","-77.82","0","primal",,"[{""orderName"":""stop_loss_2"",""completed"":true,""executedTime"":""2026-01-05T10:41:29.000Z"",""triggeredTime"":""2026-01-05T10:41:16.055Z""},{""orderName"":""take_profit_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""trailing_stop_loss_1"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_4"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate"",""symbol"":""HODLWHALE"",""mint_key"":""8bhGaqjugQMqDgaN4X7Y2WuuAVcdKH7A3cxEDcmQpump"",""pair_key"":""AnhXkKnKnpZ3Bn7V8YhoxbCzsyzAoC3VvX1wyiNc2X4D"",""timestamp"":""2026-01-05T10:39:26.740745"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","false","false","false","false","false","true","false","true","false","false","N/A","N/A","false","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
"89593","Full-AI-Phillip","HODLWHALE","8bhGaqjugQMqDgaN4X7Y2WuuAVcdKH7A3cxEDcmQpump","AnhXkKnKnpZ3Bn7V8YhoxbCzsyzAoC3VvX1wyiNc2X4D","54598.2464087313","59120","19065","0.0046050799953149995","0.6239273182452317","-0.28153030986595456","-45.09","0","primal",,"[{""orderName"":""take_profit_1"",""completed"":true,""executedTime"":""2026-01-05T10:39:45.000Z"",""triggeredTime"":""2026-01-05T10:39:45.414Z""},{""orderName"":""take_profit_2"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_3"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""take_profit_4"",""completed"":false,""executedTime"":""N/A"",""triggeredTime"":""N/A""},{""orderName"":""stop_loss_1"",""completed"":true,""executedTime"":""2026-01-05T10:41:30.000Z"",""triggeredTime"":""2026-01-05T10:41:16.055Z""}]","{""notes"":""🏆 TIER0: primal = 80%+ hit rate"",""symbol"":""HODLWHALE"",""mint_key"":""8bhGaqjugQMqDgaN4X7Y2WuuAVcdKH7A3cxEDcmQpump"",""pair_key"":""AnhXkKnKnpZ3Bn7V8YhoxbCzsyzAoC3VvX1wyiNc2X4D"",""timestamp"":""2026-01-05T10:39:26.740745"",""confidence"":0.8,""go_decision"":true,""signal_source"":""primal"",""predicted_gain"":10,""recommended_sl"":-18,""trace_trade_id"":null,""trace_registered"":false,""predicted_gain_pct"":1000,""risk_adjusted_score"":8,""position_size_factor"":0.1,""recommended_tp_levels"":[{""gain_pct"":12,""sell_amount_pct"":30},{""gain_pct"":30,""sell_amount_pct"":30},{""gain_pct"":60,""sell_amount_pct"":25},{""gain_pct"":120,""sell_amount_pct"":15}]}","true","false","false","false","false","true","true","false","false","false","N/A","N/A","true","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","false","N/A","N/A","N/A"
